group_1,group_2,n_1,n_2,median_1,median_2,median_diff_1_minus_2,u_statistic,p_value,p_adj_holm,reject_0.05,sig
광주,충북,26,48,9.100477678276986,9.383129695534837,-0.28265201725785083,592.5,0.7255741868028576,1.0,False,n.s.
대구,부산,24,35,9.70830750422784,9.771726021353874,-0.06341851712603486,424.0,0.9569302464874934,1.0,False,n.s.
대구,서울,24,172,9.70830750422784,9.60580548123146,0.10250202299637934,2090.5,0.9204424459572327,1.0,False,n.s.
대구,세종특별자치시,24,5,9.70830750422784,9.356170820187725,0.352136684040115,67.0,0.7159614332028127,1.0,False,n.s.
광주,충남,26,70,9.100477678276986,9.848306928283193,-0.7478292500062071,677.0,0.05525067871278948,1.0,False,n.s.
대구,울산,24,11,9.70830750422784,10.452793230619966,-0.7444857263921261,91.0,0.1501208222419232,1.0,False,n.s.
대구,인천,24,36,9.70830750422784,10.281883314102501,-0.5735758098746615,430.5,0.9879604427692158,1.0,False,n.s.
대구,전북,24,20,9.70830750422784,9.416350056279093,0.29195744794874656,273.0,0.4436409950058632,1.0,False,n.s.
대구,전남,24,101,9.70830750422784,9.6067647354322,0.10154276879563895,1285.0,0.6495087786855598,1.0,False,n.s.
대구,전북특별자치도,24,38,9.70830750422784,10.471695434556045,-0.7633879303282054,392.0,0.35878045949118453,1.0,False,n.s.
대구,제주,24,20,9.70830750422784,10.568130553046787,-0.8598230488189476,184.0,0.19082326968597751,1.0,False,n.s.
대구,충남,24,70,9.70830750422784,9.848306928283193,-0.13999942405535393,817.0,0.8453126567313602,1.0,False,n.s.
대구,대전,24,18,9.70830750422784,9.629613969350121,0.07869353487771846,216.0,1.0,1.0,False,n.s.
대구,충북,24,48,9.70830750422784,9.383129695534837,0.3251778086930024,650.0,0.37993303009121404,1.0,False,n.s.
대전,부산,18,35,9.629613969350121,9.771726021353874,-0.14211205200375332,321.0,0.917727549284019,1.0,False,n.s.
